Date,RPmsoft,RPsandp,Dprod,Dinflation,Dterm,m1
2001m7,-10.09717178,-1.383988738,-0.39230001,-0.449975669,-0.049999952,0
2001m8,-15.15513229,-6.920560837,-0.227599993,0.281294137,-0.169999957,0
2001m9,-11.15829849,-8.806494713,-0.288300008,0.449691594,-0.050000072,0
2001m10,12.59974575,1.606218815,-0.431699991,-0.786770582,0.74000001,0
2001m11,9.742474556,7.07760191,-0.47299999,0.168112427,0.039999962,0
2001m12,2.981817007,0.608695865,0.021600001,-0.226402521,0.850000143,0
2002m1,-4.053559303,-1.713804126,0.537599981,0.621485591,0.25,1
2002m2,-8.951189995,-2.244321823,-0.035100002,0.168361261,-0.120000124,0
2002m3,3.173496246,3.460507631,0.649900019,0.166376144,-0.169999838,0
2002m4,-14.47500038,-6.486801624,0.369800001,-0.003128052,0.409999847,0
2002m5,-2.764689207,-1.059794188,0.458000004,-0.557725906,-0.200000048,0
2002m6,7.034600735,-7.667267799,0.871900022,0.055601891,-0.029999971,0
2002m7,-13.25127888,-8.37332058,-0.30219999,0.055509228,-0.200000048,0
2002m8,2.125902891,0.346121132,0.123499997,0.221483424,-0.279999971,0
2002m9,-11.65552711,-11.79278278,0.046700001,-0.166711181,-0.49000001,0
2002m10,19.95410728,8.15977478,-0.297899991,-0.000274718,-0.230000019,0
2002m11,7.453974247,5.425058365,0.49090001,-0.165608644,0.390000105,0
2002m12,-11.04693794,-6.324594021,-0.406599998,-0.220872536,0.450000048,0
2003m1,-8.658719063,-2.881416082,0.627499998,0.662130833,-0.230000019,1
2003m2,-69.53872681,-1.812484384,0.333999991,0.326289296,0.089999914,0
2003m3,2.031572104,0.734787464,-0.180399999,-0.168580413,-0.329999924,0
2003m4,5.372068405,7.699401855,-0.740199983,-0.816358566,0.299999952,0
2003m5,-3.920859337,4.870399952,-0.0123,0.054037139,0.00999999,0
2003m6,4.010910034,1.036695957,0.0077,0.272286713,-0.5,0
2003m7,2.885576248,1.536017299,0.316500008,-0.000118531,0.410000086,0
2003m8,0.334810555,1.690701008,-0.1074,0.271105111,0.730000019,0
2003m9,4.632852077,-1.282456517,0.546999991,-0.055419028,0.119999886,0
2003m10,-6.236098289,5.271259785,-0.032900002,-0.432549745,-0.450000048,0
2003m11,-1.73866868,0.630322576,0.684599996,-0.162586451,0.350000143,0
2003m12,6.178416729,4.873556614,-0.075099997,0.162176281,-0.029999971,0
2004m1,0.940320492,1.635388255,0.265700012,0.595605612,-0.050000191,1
2004m2,-4.213289261,1.135176659,0.516799986,0.051358491,-0.149999857,0
2004m3,-6.30042696,-1.729422092,-0.492399991,0.10389626,-0.180000067,0
2004m4,4.622051239,-1.772505999,0.372299999,-0.32274121,-0.039999962,0
2004m5,0.297804773,1.11693573,0.666899979,0.26374197,0.609999895,0
2004m6,8.412000656,1.684585571,-0.731400013,-0.266611129,-0.049999952,0
2004m7,-0.355398893,-3.599223614,0.718299985,-0.475059748,-0.25,0
2004m8,-4.389977932,0.105138719,0.164199993,0.211053997,-0.379999876,0
2004m9,1.139735818,0.797867,0.037300002,0.158074945,-0.350000143,0
2004m10,1.007344604,1.248362303,0.88440001,0.314351946,-0.199999809,0
2004m11,-4.401588917,3.621044636,0.1866,-0.472841531,-0.25,0
2004m12,-0.521260381,3.00924921,0.6329,-0.41953513,0,0
2005m1,-1.853748798,-2.754908085,0.388000011,0.577139199,-0.170000076,1
2005m2,-4.5636096,1.664360166,0.593999982,0.365191162,-0.320000052,0
2005m3,-4.243490219,-2.159441948,-0.0592,0.203857422,-0.019999981,0
2005m4,4.334219933,-2.266351938,0.083700001,-0.108744025,0.110000014,0
2005m5,1.717009664,2.71122241,0.173999995,-0.773106158,-0.389999986,0
2005m6,-4.041090012,-0.263435423,0.400000006,0.154254884,-0.380000055,0
2005m7,2.791097641,3.271978378,-0.131600007,0.410230547,-0.129999995,0
2005m8,6.39299202,-1.418546796,0.119999997,0.048807979,0.030000031,0
2005m9,-6.508019447,0.399990767,-1.873100042,0.704124212,-0.280000031,0
2005m10,-0.4174968,-2.09083271,1.16869998,-1.013584733,0.180000007,0
2005m11,7.091914177,3.12812376,0.928499997,-1.007461071,-0.110000014,0
2005m12,-6.016927242,-0.426118344,0.547699988,0.400775909,-0.139999986,0
2006m1,7.020649433,2.165629387,0.093800001,1.16498518,-0.329999983,1
2006m2,-5.027026653,-0.328033924,0.0779,-0.557793736,-0.110000007,0
2006m3,0.872413039,0.718473434,0.242200002,0.350560308,-0.079999998,0
2006m4,-12.32001781,0.818237424,0.375800014,0.295179844,0.219999999,0
2006m5,-6.814119339,-3.542157888,-0.1083,-0.352201015,0.109999999,0
2006m6,2.426017523,-0.3946729,0.374900013,-0.297714472,-0.079999998,0
2006m7,2.790568352,0.088125736,0.0473,0.097939774,-0.089999989,0
2006m8,6.169027805,1.6801126,0.202199996,-0.098908544,-0.290000021,0
2006m9,5.800887108,2.005270958,-0.128999993,-0.688010335,-0.160000011,0
2006m10,4.442896843,2.692183495,-0.091799997,-0.05197084,0,0
2006m11,1.815437555,1.209917068,-0.113600001,0.394841254,-0.139999986,0
2006m12,1.268658876,0.83368361,0.999800026,0.297545314,-0.110000014,0
2007m1,2.873272181,0.975283861,-0.470600009,0.156015128,0.160000026,1
2007m2,-9.547825813,-2.636330605,1.095100045,0.228822738,0.119999975,0
2007m3,-1.499840736,0.563881695,0.073600002,0.372838378,-0.330000013,0
2007m4,6.743620872,3.817150354,0.721700013,-0.258933544,0.230000019,0
2007m5,2.065815687,2.794739008,0.059700001,-0.038302958,0.110000014,0
2007m6,-4.455573559,-2.109758854,0.005,-0.415602446,0.419999987,0
2007m7,-2.054685354,-3.756235361,0.0276,-0.219050929,-0.109999999,0
2007m8,-1.308406949,0.874805212,0.126399994,-0.158117622,-0.179999992,0
2007m9,2.1366539,3.181726694,0.444900006,0.458770275,0.219999999,0
2007m10,21.9469471,0.877351701,-0.492500007,-0.061521038,0.549999952,0
2007m11,-9.441847801,-4.691804886,0.583000004,0.378514171,-0.089999974,0
2007m12,5.526957035,-1.046156168,0.0147,-0.659313619,0.279999971,0
2008m1,-9.075001717,-6.552866936,-0.3222,0.562935233,-0.180000007,1
2008m2,-18.28453064,-3.730125904,-0.196999997,-0.205836058,0.870000005,0
2008m3,4.105103016,-0.445785284,-0.293000013,0.573095679,0.320000052,0
2008m4,0.375425696,4.275754452,-0.780499995,-0.258439839,0.330000043,0
2008m5,-0.824566007,0.85921824,-0.462099999,0.2339167,0.159999847,0
2008m6,-3.056035995,-9.347164154,-0.201299995,0.164093375,-0.199999809,0
2008m7,-6.883900642,-0.726902127,-0.44569999,-0.478928983,0.00999999,0
2008m8,5.786810398,1.301519513,-1.57249999,-0.923682213,0.169999838,0
2008m9,-2.366470575,-10.23835754,-4.06619978,0.2615574,-0.289999962,0
2008m10,-17.90662384,-18.45479965,0.765500009,-0.876872182,0.900000095,0
2008m11,-9.966718674,-8.667388916,-1.08070004,-0.91859901,0.549999952,0
2008m12,-3.939774752,1.599470139,-2.601200104,0.894235849,-0.819999933,0
2009m1,-12.83210087,-9.271260262,-2.015000105,1.47393024,-0.269999981,1
2009m2,-5.738341331,-12.0835228,-0.56099999,0.061763585,0.109999895,0
2009m3,12.85655117,8.387829781,-1.336199999,-0.253181219,0.140000105,0
2009m4,9.774626732,9.488739967,-0.717700005,0.006446093,-0.170000076,0
2009m5,3.048874378,5.613986492,-0.86650002,0.039134175,0.589999914,0
2009m6,12.9045372,-0.275464088,-0.309500009,0.566861033,0.529999971,0
2009m7,-1.071482539,7.2520895,0.724399984,-1.014005423,-0.199999809,0
2009m8,4.676744461,2.900173187,0.889800012,0.382718384,0.089999914,0
2009m9,4.237533092,3.400686026,0.581799984,-0.161505342,-0.230000019,0
2009m10,7.516263008,-1.799791455,0.269899994,0.03373526,-0.130000114,0
2009m11,5.876989365,5.870970249,0.416299999,-0.02551347,0.28000021,0
2009m12,3.568597794,1.59019506,0.404199988,-0.2470254,-0.170000076,0
2010m1,-7.852488995,-3.903162718,0.920400023,0.517439842,0.549999952,1
2010m2,1.715543985,2.880017042,0.338099986,-0.316247106,-0.190000057,0
2010m3,2.128654718,5.777507305,0.66839999,0.384869933,-0.099999905,0
2010m4,4.165780544,1.457150578,0.296900004,-0.236249745,0.25,0
2010m5,-16.88044739,-8.920342445,1.407999992,-0.096048117,-0.180000067,0
2010m6,-11.45789242,-5.320469856,0.199000001,-0.175164104,-0.419999838,0
2010m7,11.46914387,7.136445045,0.531499982,0.11877647,-0.340000153,0
2010m8,-9.517233849,-5.374217987,0.243200004,0.116869129,0.039999962,0
2010m9,4.24335289,8.545318604,0.233799994,-0.079814494,-0.379999876,0
2010m10,8.514113426,3.612342834,-0.314399987,0.066285715,-0.069999933,0
2010m11,-5.442555428,0.064199023,0.246999994,-0.082386628,0.149999857,0
2010m12,9.96295929,5.799563885,0.907000005,0.129640803,0.279999971,0
2011m1,-0.659518778,2.462928295,-0.113700002,0.303495586,0.400000095,1
2011m2,-4.248080254,3.005553246,-0.433999985,0.016732365,0.119999886,0
2011m3,-4.592032433,0.051535901,0.938899994,0.47845915,-0.059999943,0
2011m4,2.060114145,2.646203995,-0.537199974,-0.328505218,0.120000124,0
2011m5,-3.578079224,-1.480722904,0.336100012,-0.172562748,-0.130000114,0
2011m6,3.87791276,-1.846790075,0.164800003,-0.576469839,-0.349999905,0
2011m7,5.242980957,-2.148517847,0.531400025,0.195719421,0.230000019,0
2011m8,-2.971513271,-5.860200405,0.512399971,0.186814025,-0.470000029,0
2011m9,-6.646176338,-7.485809803,0.100400001,-0.123648316,-0.539999962,0
2011m10,6.755561829,10.06387043,0.52579999,-0.358212352,-0.350000143,0
2011m11,-4.023593903,-0.32830739,0.212400004,0.122089557,0.220000029,0
2011m12,1.473776221,0.952972531,0.564100027,-0.162564576,0.099999905,0
2012m1,12.88331318,4.16724062,0.671999991,0.686010242,-0.149999857,1
2012m2,7.212101936,3.986793041,0.471300006,0.000276983,-0.140000105,0
2012m3,1.618369102,3.062379122,-0.527899981,0.317255616,0.140000105,0
2012m4,-0.753403187,-0.762817979,0.717899978,-0.454938948,0.190000057,0
2012m5,-9.260951996,-6.508960247,0.246999994,-0.419064403,-0.250000119,0
2012m6,4.678864002,3.921023846,0.028000001,-0.029330462,-0.49000001,0
2012m7,-3.738369703,1.231082201,0.424899995,-0.016364232,0.110000014,0
2012m8,4.470769882,1.945883036,-0.772099972,0.718084574,-0.049999952,0
2012m9,-3.5081954,2.405179501,0.1699,-0.1097444,0.029999971,0
2012m10,-4.193359852,-2.019414663,-0.114,-0.484128684,0.059999943,0
2012m11,-6.971879959,0.285230756,1.270900011,-0.43603462,0.110000014,0
2012m12,0.329188079,0.684714019,0.0766,0.205264956,-0.129999995,0
2013m1,2.726147413,4.913109303,-0.125300005,0.564963698,0.25,1
2013m2,1.261985302,1.094988227,0.895200014,0.520373344,0.200000048,0
2013m3,2.862861872,3.525732756,0.316399992,-0.554557681,-0.230000019,0
2013m4,14.57103062,1.785134912,-0.530799985,-0.365127712,0.029999971,0
